04.12.2016 @ 09:04:20: Das Dateisystem wurde initalisiert | F:\Andy's Dokumente\Archiv\Archiv\bin\Debug\Log.log
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: _InputBox.dll,Path: \_InputBox.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: _MessageBox.dll,Path: \_MessageBox.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Archiv.dll,Path: \Archiv.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: AxInterop.WMPLib.dll,Path: \AxInterop.WMPLib.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Classes.dll,Path: \Classes.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Interop.WMPLib.dll,Path: \Interop.WMPLib.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: ISD.dll,Path: \ISD.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: OmoiDashi.exe,Path: \OmoiDashi.exe
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Serialization.dll,Path: \Serialization.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Settings.xml,Path: \Settings.xml
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:<?,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Skybound.Gecko.dll,Path: \Skybound.Gecko.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: SlimDX.dll,Path: \SlimDX.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Sync.dll,Path: \Sync.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Update,Path: \Update
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:Tr,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: updateSystemDotNet.Controller.dll,Path: \updateSystemDotNet.Controller.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: UserInterface.dll,Path: \UserInterface.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: VFS.dll,Path: \VFS.dll
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Vokabeltest-Generator.exe,Path: \Vokabeltest-Generator.exe
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: NoteTable.txt,Path: \Files\NoteTable.txt
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:10,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Statistics,Path: \Files\Statistics
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: en-us,Path: \Languages\en-us
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:|L,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Language,Path: \Languages\Language
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:de,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: About.big,Path: \OApps\About.big
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Edit.big,Path: \OApps\Edit.big
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Input.big,Path: \OApps\Input.big
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Listening.big,Path: \OApps\Listening.big
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Settings.big,Path: \OApps\Settings.big
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
04.12.2016 @ 09:04:21: Die Datei existiert bereits | File: Test.big,Path: \OApps\Test.big
04.12.2016 @ 09:04:21: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:MZ,
