17.10.2016 @ 23:23:39: Das Dateisystem wurde initalisiert | F:\Andy's Dokumente\Archiv\Archiv\bin\Debug\Log.log
17.10.2016 @ 23:23:39: Es wurde eine Änderung am Dateisystem vorgenommen | Action: AddedPath
17.10.2016 @ 23:23:39: Es wurde eine Änderung am Dateisystem vorgenommen | Action: AddedFile
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: Mail.pro,Path: \Projekte\Mail\Mail\Mail.pro
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:#-,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: Mail.pro.user,Path: \Projekte\Mail\Mail\Mail.pro.user
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:<?,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: main.cpp,Path: \Projekte\Mail\Mail\main.cpp
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:#i,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: mainwindow.cpp,Path: \Projekte\Mail\Mail\mainwindow.cpp
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:#i,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: mainwindow.h,Path: \Projekte\Mail\Mail\mainwindow.h
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:#i,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: mainwindow.ui,Path: \Projekte\Mail\Mail\mainwindow.ui
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:<u,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: Mail,Path: \Projekte\Mail\Mail\Build\Mail
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: main.o,Path: \Projekte\Mail\Mail\Build\main.o
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: mainwindow.o,Path: \Projekte\Mail\Mail\Build\mainwindow.o
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: Makefile,Path: \Projekte\Mail\Mail\Build\Makefile
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:##,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: moc_mainwindow.cpp,Path: \Projekte\Mail\Mail\Build\moc_mainwindow.cpp
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:/*,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: moc_mainwindow.o,Path: \Projekte\Mail\Mail\Build\moc_mainwindow.o
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: ui_mainwindow.h,Path: \Projekte\Mail\Mail\Build\ui_mainwindow.h
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:/*,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: Nachricht.mp3,Path: \Projekte\Mail\Mail\Files\Nachricht.mp3
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:ÿû,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: main.o,Path: \Projekte\Musik\Build\main.o
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: mainwindow.o,Path: \Projekte\Musik\Build\mainwindow.o
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: Makefile,Path: \Projekte\Musik\Build\Makefile
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:##,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: moc_mainwindow.cpp,Path: \Projekte\Musik\Build\moc_mainwindow.cpp
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:/*,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: moc_mainwindow.o,Path: \Projekte\Musik\Build\moc_mainwindow.o
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:39: Die Datei existiert bereits | File: Musik,Path: \Projekte\Musik\Build\Musik
17.10.2016 @ 23:23:39: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
